Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
37,05/15/2002,15,4,0,3527,881,0,0,"['Katz Yossi', 'Dehamshe Abdulmalik', 'Yahalom Shaul', 'Magen (Monsonego) David']","{'Katz Yossi': 1671, 'Dehamshe Abdulmalik': 0, 'Yahalom Shaul': 1137, 'Magen (Monsonego) David': 719}",15_ptv_491121.json,
38,05/20/2002,15,6,0,1266,211,0,0,"['Katz Yossi', 'Gagula Itzhak', 'Dehamshe Abdulmalik', 'Sandberg Eliezer', 'Yechezkel Avraham', 'Cohen Amnon']","{'Katz Yossi': 994, 'Gagula Itzhak': 33, 'Dehamshe Abdulmalik': 20, 'Sandberg Eliezer': 219, 'Yechezkel Avraham': 0, 'Cohen Amnon': 0}",15_ptv_491122.json,
39,05/21/2002,15,6,3,1979,329,30,10,"['Katz Yossi', 'Orlev Zevulun', 'Eitan Michael', 'Gagula Itzhak', 'Yahalom Shaul', 'Landver Sofa', 'Naot Yehudith', 'Solodkin Marina', 'Peretz Yair']","{'Katz Yossi': 1419, 'Orlev Zevulun': 0, 'Eitan Michael': 0, 'Gagula Itzhak': 6, 'Yahalom Shaul': 554, 'Landver Sofa': 0, 'Naot Yehudith': 30, 'Solodkin Marina': 0, 'Peretz Yair': 0}",15_ptv_491123.json,
31,05/21/2002,15,29,4,3862,133,1047,261,"['Katz Yossi', 'Oshaya Efi', 'Eitan Michael', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Gagula Itzhak', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Cohen Eliezer', 'Katz Israel', 'Levy Maxim', 'Landver Sofa', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Halpert Shmuel', 'Hendel Zvi', 'Vilan Avshalom', 'Tibi Ahmad', 'Yechezkel Avraham', 'Litzman Yakov', 'Lasry Yechiel', 'Melloul Rahamim', 'Mishani Mordechai', 'Nudelman Michael', 'Pines-Paz Ophir', 'Shochat Avraham', 'Steinitz Yuval', 'Shtern Yuri']","{'Katz Yossi': 1544, 'Oshaya Efi': 1, 'Eitan Michael': 593, 'Ariel Uri Yehuda': 11, 'Boim Ze`ev': 13, 'Gagula Itzhak': 1, 'Galon Zehava': 465, 'Dehamshe Abdulmalik': 499, 'Sandberg Eliezer': 72, 'Chazan Naomi': 580, 'Yahalom Shaul': 628, 'Cohen Amnon': 1, 'Cohen Eliezer': 1, 'Katz Israel': 1, 'Levy Maxim': 1, 'Landver Sofa': 1, 'Shaban Yitzhak': 0, 'Solodkin Marina': 1, 'Peretz Yair': 277, 'Halpert Shmuel': 0, 'Hendel Zvi': 0, 'Vilan Avshalom': 0, 'Tibi Ahmad': 198, 'Yechezkel Avraham': 0, 'Litzman Yakov': 3, 'Lasry Yechiel': 3, 'Melloul Rahamim': 9, 'Mishani Mordechai': 0, 'Nudelman Michael': 0, 'Pines-Paz Ophir': 0, 'Shochat Avraham': 3, 'Steinitz Yuval': 3, 'Shtern Yuri': 0}",15_ptv_491124.json,
311,05/22/2002,15,4,0,1171,292,0,0,"['Katz Yossi', 'Boim Ze`ev', 'Vilan Avshalom', 'Yahalom Shaul']","{'Katz Yossi': 701, 'Boim Ze`ev': 0, 'Vilan Avshalom': 24, 'Yahalom Shaul': 446}",15_ptv_491125.json,
312,05/23/2002,15,14,1,4391,313,257,257,"['Katz Yossi', 'Boim Ze`ev', 'Gagula Itzhak', 'Gafni Moshe', 'Hirchson Abraham', 'Vilan Avshalom', 'Yahalom Shaul', 'Melloul Rahamim', 'Cohen Eliezer', 'Ronen Nehama', 'Raz Mossi', 'Peretz Yair', 'Peretz Amir', 'Steinitz Yuval', 'Shiry Wizman']","{'Katz Yossi': 847, 'Boim Ze`ev': 305, 'Gagula Itzhak': 210, 'Gafni Moshe': 858, 'Hirchson Abraham': 211, 'Vilan Avshalom': 459, 'Yahalom Shaul': 277, 'Melloul Rahamim': 363, 'Cohen Eliezer': 82, 'Ronen Nehama': 257, 'Raz Mossi': 109, 'Peretz Yair': 12, 'Peretz Amir': 353, 'Steinitz Yuval': 10, 'Shiry Wizman': 295}",15_ptv_494156.json,
313,05/27/2002,15,21,3,3211,152,51,17,"['Katz Yossi', 'Oshaya Efi', 'Eitan Michael', 'Boim Ze`ev', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vaknin Yitzhak', 'Zeev Nissim', 'Sandberg Eliezer', 'Tal David', 'Yahalom Shaul', 'Cohen Eli', 'Cohen Amnon', 'Katz Haim', 'Landver Sofa', 'Melloul Rahamim', 'Solodkin Marina', 'Poraz Avraham', 'Porush Meir', 'Kara Ayoob', 'Ronen Nehama', 'Raz Mossi', 'Shiry Wizman']","{'Katz Yossi': 1580, 'Oshaya Efi': 9, 'Eitan Michael': 11, 'Boim Ze`ev': 487, 'Gafni Moshe': 46, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 19, 'Vaknin Yitzhak': 0, 'Zeev Nissim': 186, 'Sandberg Eliezer': 6, 'Tal David': 73, 'Yahalom Shaul': 51, 'Cohen Eli': 0, 'Cohen Amnon': 39, 'Katz Haim': 150, 'Landver Sofa': 27, 'Melloul Rahamim': 161, 'Solodkin Marina': 0, 'Poraz Avraham': 171, 'Porush Meir': 174, 'Kara Ayoob': 0, 'Ronen Nehama': 24, 'Raz Mossi': 28, 'Shiry Wizman': 20}",15_ptv_494157.json,
314,05/28/2002,15,15,2,1587,105,61,30,"['Katz Yossi', 'Barakeh Mohammad', 'Boim Ze`ev', 'Hirchson Abraham', 'Eitan Michael', 'Cohen Amnon', 'Shaban Yitzhak', 'Gagula Itzhak', 'Peretz Yair', 'Chazan Naomi', 'Ronen Nehama', 'Yahalom Shaul', 'Dehamshe Abdulmalik', 'Ariel Uri Yehuda', 'Mishani Mordechai', 'Vilan Avshalom', 'Cohen Eli']","{'Katz Yossi': 1143, 'Barakeh Mohammad': 79, 'Boim Ze`ev': 11, 'Hirchson Abraham': 44, 'Eitan Michael': 149, 'Cohen Amnon': 3, 'Shaban Yitzhak': 0, 'Gagula Itzhak': 25, 'Peretz Yair': 8, 'Chazan Naomi': 61, 'Ronen Nehama': 0, 'Yahalom Shaul': 53, 'Dehamshe Abdulmalik': 0, 'Ariel Uri Yehuda': 40, 'Mishani Mordechai': 12, 'Vilan Avshalom': 0, 'Cohen Eli': 20}",15_ptv_494158.json,
315,05/28/2002,15,16,2,1572,98,0,0,"['Katz Yossi', 'Barakeh Mohammad', 'Boim Ze`ev', 'Hirchson Abraham', 'Eitan Michael', 'Cohen Amnon', 'Shaban Yitzhak', 'Gagula Itzhak', 'Peretz Yair', 'Chazan Naomi', 'Ronen Nehama', 'Yahalom Shaul', 'Dehamshe Abdulmalik', 'Ariel Uri Yehuda', 'Melloul Rahamim', 'Vilan Avshalom', 'Mishani Mordechai', 'Ravitz Avraham']","{'Katz Yossi': 846, 'Barakeh Mohammad': 63, 'Boim Ze`ev': 300, 'Hirchson Abraham': 33, 'Eitan Michael': 0, 'Cohen Amnon': 0, 'Shaban Yitzhak': 13, 'Gagula Itzhak': 0, 'Peretz Yair': 0, 'Chazan Naomi': 0, 'Ronen Nehama': 0, 'Yahalom Shaul': 10, 'Dehamshe Abdulmalik': 0, 'Ariel Uri Yehuda': 0, 'Melloul Rahamim': 61, 'Vilan Avshalom': 101, 'Mishani Mordechai': 145, 'Ravitz Avraham': 0}",15_ptv_494159.json,
316,05/29/2002,15,11,1,5463,496,0,0,"['Katz Yossi', 'Yechezkel Avraham', 'Katz Israel', 'Cohen Eliezer', 'Vaknin Yitzhak', 'Kara Ayoob', 'Vilan Avshalom', 'Ronen Nehama', 'Peretz Yair', 'Shtern Yuri', 'Cohen Amnon', 'Yahalom Shaul']","{'Katz Yossi': 2615, 'Yechezkel Avraham': 788, 'Katz Israel': 4, 'Cohen Eliezer': 0, 'Vaknin Yitzhak': 0, 'Kara Ayoob': 0, 'Vilan Avshalom': 0, 'Ronen Nehama': 0, 'Peretz Yair': 0, 'Shtern Yuri': 54, 'Cohen Amnon': 10, 'Yahalom Shaul': 1992}",15_ptv_494160.json,
317,06/03/2002,15,9,0,128,14,0,0,"['Katz Yossi', 'Boim Ze`ev', 'Dehamshe Abdulmalik', 'Vilan Avshalom', 'Katz Haim', 'Rubinstein Amnon', 'Riger Gennady', 'Shochat Avraham', 'Shiry Wizman']","{'Katz Yossi': 90, 'Boim Ze`ev': 12, 'Dehamshe Abdulmalik': 8, 'Vilan Avshalom': 12, 'Katz Haim': 6, 'Rubinstein Amnon': 0, 'Riger Gennady': 0, 'Shochat Avraham': 0, 'Shiry Wizman': 0}",15_ptv_494161.json,
318,06/04/2002,15,7,2,1838,262,0,0,"['Katz Yossi', 'Ariel Uri Yehuda', 'Gagula Itzhak', 'Tal David', 'Yahalom Shaul', 'Landver Sofa', 'Solodkin Marina', 'Peretz Yair', 'Shtern Yuri']","{'Katz Yossi': 874, 'Ariel Uri Yehuda': 23, 'Gagula Itzhak': 132, 'Tal David': 494, 'Yahalom Shaul': 123, 'Landver Sofa': 0, 'Solodkin Marina': 0, 'Peretz Yair': 73, 'Shtern Yuri': 119}",15_ptv_494162.json,
319,06/04/2002,15,10,0,168,16,0,0,"['Katz Yossi', 'Oshaya Efi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Gagula Itzhak', 'Yahalom Shaul', 'Cohen Amnon', 'Peretz Yair', 'Shtern Yuri', 'Shiry Wizman']","{'Katz Yossi': 168, 'Oshaya Efi': 0, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 0, 'Gagula Itzhak': 0, 'Yahalom Shaul': 0, 'Cohen Amnon': 0, 'Peretz Yair': 0, 'Shtern Yuri': 0, 'Shiry Wizman': 0}",15_ptv_494163.json,
32,06/05/2002,15,4,2,53,13,0,0,"['Katz Yossi', 'Blumenthal Naomi', 'Hirchson Abraham', 'Katz Israel', 'Solodkin Marina', 'Shiry Wizman']","{'Katz Yossi': 53, 'Blumenthal Naomi': 0, 'Hirchson Abraham': 0, 'Katz Israel': 0, 'Solodkin Marina': 0, 'Shiry Wizman': 0}",15_ptv_494164.json,
321,06/05/2002,15,6,0,118,19,0,0,"['Eitan Michael', 'Barakeh Mohammad', 'Gagula Itzhak', 'Dehamshe Abdulmalik', 'Mishani Mordechai', 'Shiry Wizman']","{'Eitan Michael': 29, 'Barakeh Mohammad': 25, 'Gagula Itzhak': 0, 'Dehamshe Abdulmalik': 64, 'Mishani Mordechai': 0, 'Shiry Wizman': 0}",15_ptv_494165.json,
322,06/10/2002,15,1,0,96,96,0,0,"['Boim Ze`ev']","{'Boim Ze`ev': 96}",15_ptv_494166.json,
323,06/11/2002,15,4,0,430,107,0,0,"['Katz Yossi', 'Eitan Michael', 'Ariel Uri Yehuda', 'Shtern Yuri']","{'Katz Yossi': 365, 'Eitan Michael': 9, 'Ariel Uri Yehuda': 56, 'Shtern Yuri': 0}",15_ptv_494168.json,
324,06/18/2002,15,13,1,5161,397,0,0,"['Katz Yossi', 'Oshaya Efi', 'Eitan Michael', 'El-Sana Talab', 'Ariel Uri Yehuda', 'Gagula Itzhak', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Cohen Eli', 'Cohen Eliezer', 'Cohen Amnon', 'Landver Sofa', 'Nudelman Michael', 'Peretz Yair']","{'Katz Yossi': 2738, 'Oshaya Efi': 187, 'Eitan Michael': 710, 'El-Sana Talab': 91, 'Ariel Uri Yehuda': 35, 'Gagula Itzhak': 7, 'Gafni Moshe': 247, 'Dehamshe Abdulmalik': 0, 'Cohen Eli': 224, 'Cohen Eliezer': 866, 'Cohen Amnon': 0, 'Landver Sofa': 0, 'Nudelman Michael': 43, 'Peretz Yair': 13}",15_ptv_494169.json,
326,06/19/2002,15,12,2,1464,122,81,40,"['Katz Yossi', 'Oshaya Efi', 'Ariel Uri Yehuda', 'Gagula Itzhak', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Tal David', 'Yahalom Shaul', 'Cohen Amnon', 'Katz Israel', 'Nudelman Michael', 'Landver Sofa', 'Shaban Yitzhak', 'Shtern Yuri']","{'Katz Yossi': 815, 'Oshaya Efi': 241, 'Ariel Uri Yehuda': 0, 'Gagula Itzhak': 97, 'Galon Zehava': 30, 'Dehamshe Abdulmalik': 84, 'Tal David': 51, 'Yahalom Shaul': 76, 'Cohen Amnon': 6, 'Katz Israel': 68, 'Nudelman Michael': 26, 'Landver Sofa': 51, 'Shaban Yitzhak': 0, 'Shtern Yuri': 0}",15_ptv_494170.json,
326,06/24/2002,15,7,1,2103,300,0,0,"['Katz Yossi', 'Oshaya Efi', 'Eitan Michael', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Dehamshe Abdulmalik', 'Cohen Eliezer', 'Landver Sofa']","{'Katz Yossi': 1260, 'Oshaya Efi': 154, 'Eitan Michael': 508, 'Ariel Uri Yehuda': 3, 'Boim Ze`ev': 109, 'Dehamshe Abdulmalik': 59, 'Cohen Eliezer': 10, 'Landver Sofa': 0}",15_ptv_494171.json,
,06/25/2002,15,4,2,872,218,773,386,"['Katz Yossi', 'Gozansky Tamar', 'Galon Zehava', 'Nudelman Michael', 'Peretz Yair', 'Raz Mossi']","{'Katz Yossi': 872, 'Gozansky Tamar': 262, 'Galon Zehava': 511, 'Nudelman Michael': 0, 'Peretz Yair': 0, 'Raz Mossi': 0}",15_ptv_494172.json,
328,06/25/2002,15,1,0,1080,1080,0,0,"['Katz Yossi']","{'Katz Yossi': 1080}",15_ptv_494173.json,
329,7/1/2002,15,2,1,1175,587,122,122,"['Katz Yossi', 'Cohen Amnon', 'Solodkin Marina']","{'Katz Yossi': 1175, 'Cohen Amnon': 0, 'Solodkin Marina': 122}",15_ptv_494174.json,
33,07/02/2002,15,4,0,494,123,0,0,"['Yahalom Shaul', 'Tibi Ahmad', 'Peretz Yair', 'Halpert Shmuel']","{'Yahalom Shaul': 440, 'Tibi Ahmad': 54, 'Peretz Yair': 0, 'Halpert Shmuel': 0}",15_ptv_494175.json,
331,07/03/2002,15,4,2,1238,309,8,4,"['Katz Yossi', 'Oshaya Efi', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Chazan Naomi']","{'Katz Yossi': 1050, 'Oshaya Efi': 27, 'Barakeh Mohammad': 52, 'Galon Zehava': 0, 'Gafni Moshe': 109, 'Chazan Naomi': 8}",15_ptv_494176.json,
332,07/08/2002,15,12,2,4033,336,0,0,"['Katz Yossi', 'Oshaya Efi', 'Eitan Michael', 'Boim Ze`ev', 'Gafni Moshe', 'Zeev Nissim', 'Yahalom Shaul', 'Cohen Eli', 'Landver Sofa', 'Mishani Mordechai', 'Peretz Yair', 'Ronen Nehama', 'Shtern Yuri', 'Shiry Wizman']","{'Katz Yossi': 1179, 'Oshaya Efi': 84, 'Eitan Michael': 529, 'Boim Ze`ev': 743, 'Gafni Moshe': 0, 'Zeev Nissim': 346, 'Yahalom Shaul': 321, 'Cohen Eli': 156, 'Landver Sofa': 0, 'Mishani Mordechai': 0, 'Peretz Yair': 37, 'Ronen Nehama': 0, 'Shtern Yuri': 55, 'Shiry Wizman': 583}",15_ptv_494177.json,
335,07/10/2002,15,17,6,5583,328,340,56,"['Katz Yossi', 'Oshaya Efi', 'Eitan Michael', 'Elon Benyamin', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Galon Zehava', 'Gamliel Arieh', 'Dehamshe Abdulmalik', 'Vilan Avshalom', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Eliezer', 'Cohen Amnon', 'Landver Sofa', 'Maor Anat', 'Mishani Mordechai', 'Solodkin Marina', 'Peretz Yair', 'Kara Ayoob', 'Ronen Nehama', 'Shtern Yuri']","{'Katz Yossi': 2910, 'Oshaya Efi': 389, 'Eitan Michael': 492, 'Elon Benyamin': 23, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 404, 'Barakeh Mohammad': 218, 'Galon Zehava': 100, 'Gamliel Arieh': 0, 'Dehamshe Abdulmalik': 0, 'Vilan Avshalom': 177, 'Chazan Naomi': 202, 'Yahalom Shaul': 327, 'Cohen Eliezer': 98, 'Cohen Amnon': 15, 'Landver Sofa': 0, 'Maor Anat': 38, 'Mishani Mordechai': 0, 'Solodkin Marina': 0, 'Peretz Yair': 4, 'Kara Ayoob': 270, 'Ronen Nehama': 0, 'Shtern Yuri': 256}",15_ptv_494180.json,
336,07/15/2002,15,2,0,61,30,0,0,"['Katz Yossi', 'Sandberg Eliezer']","{'Katz Yossi': 61, 'Sandberg Eliezer': 0}",15_ptv_494181.json,
337,07/16/2002,15,10,0,3078,307,0,0,"['Katz Yossi', 'Lapid Tommy', 'Langental Nahum', 'Pines-Paz Ophir', 'Gafni Moshe', 'Yahalom Shaul', 'Ariel Uri Yehuda', 'Mishani Mordechai', 'Peretz Yair', 'Ravitz Avraham']","{'Katz Yossi': 1743, 'Lapid Tommy': 209, 'Langental Nahum': 44, 'Pines-Paz Ophir': 153, 'Gafni Moshe': 685, 'Yahalom Shaul': 167, 'Ariel Uri Yehuda': 31, 'Mishani Mordechai': 12, 'Peretz Yair': 0, 'Ravitz Avraham': 34}",15_ptv_494182.json,
338,07/16/2002,15,11,4,749,68,0,0,"['Katz Yossi', 'Oshaya Efi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Chazan Naomi', 'Yahalom Shaul', 'Katz Israel', 'Landver Sofa', 'Solodkin Marina', 'Kara Ayoob', 'Ronen Nehama', 'Shtern Yuri']","{'Katz Yossi': 705, 'Oshaya Efi': 44, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 0, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Chazan Naomi': 0, 'Yahalom Shaul': 0, 'Katz Israel': 0, 'Landver Sofa': 0, 'Solodkin Marina': 0, 'Kara Ayoob': 0, 'Ronen Nehama': 0, 'Shtern Yuri': 0}",15_ptv_494183.json,
339,07/22/2002,15,2,0,851,425,0,0,"['Katz Yossi', 'Orlev Zevulun']","{'Katz Yossi': 492, 'Orlev Zevulun': 359}",15_ptv_494184.json,
34,07/23/2002,15,8,3,3531,441,675,225,"['Katz Yossi', 'Oshaya Efi', 'Ariel Uri Yehuda', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Yahalom Shaul', 'Cohen Eliezer', 'Mishani Mordechai', 'Naot Yehudith', 'Ronen Nehama']","{'Katz Yossi': 1083, 'Oshaya Efi': 408, 'Ariel Uri Yehuda': 0, 'Barakeh Mohammad': 202, 'Galon Zehava': 582, 'Gafni Moshe': 515, 'Yahalom Shaul': 1283, 'Cohen Eliezer': 12, 'Mishani Mordechai': 28, 'Naot Yehudith': 93, 'Ronen Nehama': 0}",15_ptv_494185.json,
341,7/24/2002,15,11,2,2282,207,73,36,"['Katz Yossi', 'Gagula Itzhak', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Vilan Avshalom', 'Vaknin Yitzhak', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Melloul Rahamim', 'Solodkin Marina', 'Poraz Avraham']","{'Katz Yossi': 783, 'Gagula Itzhak': 90, 'Gafni Moshe': 682, 'Dehamshe Abdulmalik': 89, 'Vilan Avshalom': 0, 'Vaknin Yitzhak': 0, 'Sandberg Eliezer': 0, 'Chazan Naomi': 4, 'Yahalom Shaul': 269, 'Cohen Amnon': 0, 'Melloul Rahamim': 84, 'Solodkin Marina': 69, 'Poraz Avraham': 285}",15_ptv_494186.json,
342,07/31/2002,15,1,0,868,868,0,0,"['Katz Yossi']","{'Katz Yossi': 868}",15_ptv_494187.json,
343,08/12/2002,15,4,0,994,248,0,0,"['Katz Yossi', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Tsinker Alexander']","{'Katz Yossi': 903, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 0, 'Tsinker Alexander': 91}",15_ptv_494188.json,
344,09/18/2002,15,3,0,152,50,0,0,"['Oshaya Efi', 'Gafni Moshe', 'Dehamshe Abdulmalik']","{'Oshaya Efi': 152, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 0}",15_ptv_494189.json,
346,10/15/2002,15,4,3,802,200,260,86,"['Oshaya Efi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Galon Zehava', 'Chazan Naomi', 'Ronen Nehama', 'Shtern Yuri']","{'Oshaya Efi': 642, 'Ariel Uri Yehuda': 36, 'Boim Ze`ev': 124, 'Galon Zehava': 146, 'Chazan Naomi': 3, 'Ronen Nehama': 111, 'Shtern Yuri': 0}",15_ptv_494191.json,
347,10/21/2002,15,2,0,62,31,0,0,"['Katz Yossi', 'Dehamshe Abdulmalik']","{'Katz Yossi': 62, 'Dehamshe Abdulmalik': 0}",15_ptv_494193.json,
348,10/22/2002,15,17,3,1569,92,52,17,"['Katz Yossi', 'Yahalom Shaul', 'Oshaya Efi', 'Peretz Yair', 'Shaban Yitzhak', 'Shtern Yuri', 'Mishani Mordechai', 'Ariel Uri Yehuda', 'Eitan Michael', 'Barakeh Mohammad', 'Dehamshe Abdulmalik', 'Gagula Itzhak', 'Chazan Naomi', 'Solodkin Marina', 'Reshef Tzaly', 'Galon Zehava', 'Boim Ze`ev', 'Hendel Zvi', 'Cohen Eliezer', 'Pines-Paz Ophir']","{'Katz Yossi': 776, 'Yahalom Shaul': 183, 'Oshaya Efi': 35, 'Peretz Yair': 62, 'Shaban Yitzhak': 0, 'Shtern Yuri': 30, 'Mishani Mordechai': 35, 'Ariel Uri Yehuda': 59, 'Eitan Michael': 111, 'Barakeh Mohammad': 17, 'Dehamshe Abdulmalik': 69, 'Gagula Itzhak': 0, 'Chazan Naomi': 0, 'Solodkin Marina': 0, 'Reshef Tzaly': 3, 'Galon Zehava': 52, 'Boim Ze`ev': 28, 'Hendel Zvi': 161, 'Cohen Eliezer': 0, 'Pines-Paz Ophir': 0}",15_ptv_494194.json,
39,10/28/2002,15,7,1,1358,194,200,200,"['Katz Yossi', 'Boim Ze`ev', 'Barakeh Mohammad', 'Chazan Naomi', 'Yahalom Shaul', 'Mishani Mordechai', 'Shaban Yitzhak', 'Peretz Yair']","{'Katz Yossi': 504, 'Boim Ze`ev': 149, 'Barakeh Mohammad': 0, 'Chazan Naomi': 200, 'Yahalom Shaul': 599, 'Mishani Mordechai': 98, 'Shaban Yitzhak': 0, 'Peretz Yair': 8}",15_ptv_494195.json,
35,10/28/2002,15,15,2,2436,162,2,1,"['Katz Yossi', 'Eitan Michael', 'Boim Ze`ev', 'Gagula Itzhak', 'Galon Zehava', 'Gafni Moshe', 'Hirchson Abraham', 'Yahalom Shaul', 'Yechezkel Avraham', 'Cohen Amnon', 'Mishani Mordechai', 'Melloul Rahamim', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Shtern Yuri', 'Reshef Tzaly']","{'Katz Yossi': 1001, 'Eitan Michael': 0, 'Boim Ze`ev': 247, 'Gagula Itzhak': 6, 'Galon Zehava': 2, 'Gafni Moshe': 186, 'Hirchson Abraham': 25, 'Yahalom Shaul': 96, 'Yechezkel Avraham': 0, 'Cohen Amnon': 0, 'Mishani Mordechai': 77, 'Melloul Rahamim': 4, 'Solodkin Marina': 0, 'Peretz Yair': 242, 'Peretz Amir': 552, 'Shtern Yuri': 0, 'Reshef Tzaly': 0}",15_ptv_494196.json,
351,10/30/2002,15,8,2,1219,152,182,91,"['Katz Yossi', 'Boim Ze`ev', 'Bibi Yigal', 'Hendel Zvi', 'Chazan Naomi', 'Cohen Eliezer', 'Cohen Amnon', 'Solodkin Marina', 'Kara Ayoob', 'Shochat Avraham']","{'Katz Yossi': 823, 'Boim Ze`ev': 49, 'Bibi Yigal': 91, 'Hendel Zvi': 105, 'Chazan Naomi': 182, 'Cohen Eliezer': 5, 'Cohen Amnon': 0, 'Solodkin Marina': 0, 'Kara Ayoob': 8, 'Shochat Avraham': 138}",15_ptv_494197.json,
353,11/04/2002,15,25,4,2011,80,0,0,"['Katz Yossi', 'Oshaya Efi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gagula Itzhak', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Yechezkel Avraham', 'Cohen Amnon', 'Mishani Mordechai', 'Solodkin Marina', 'Peretz Yair', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Zeev Nissim', 'Cohen Eli', 'Cohen Eliezer', 'Landver Sofa', 'Melloul Rahamim', 'Nudelman Michael', 'Pines-Paz Ophir', 'Kara Ayoob', 'Steinitz Yuval']","{'Katz Yossi': 1304, 'Oshaya Efi': 40, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 113, 'Barakeh Mohammad': 187, 'Gagula Itzhak': 0, 'Gafni Moshe': 9, 'Dehamshe Abdulmalik': 14, 'Vilan Avshalom': 0, 'Sandberg Eliezer': 84, 'Chazan Naomi': 0, 'Yahalom Shaul': 178, 'Yechezkel Avraham': 0, 'Cohen Amnon': 0, 'Mishani Mordechai': 0, 'Solodkin Marina': 0, 'Peretz Yair': 33, 'Ronen Nehama': 0, 'Reshef Tzaly': 0, 'Shtern Yuri': 0, 'Zeev Nissim': 49, 'Cohen Eli': 0, 'Cohen Eliezer': 0, 'Landver Sofa': 0, 'Melloul Rahamim': 0, 'Nudelman Michael': 0, 'Pines-Paz Ophir': 0, 'Kara Ayoob': 0, 'Steinitz Yuval': 0}",15_ptv_494199.json,
354,11/04/2002,15,24,3,1779,74,9,3,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Yechezkel Avraham', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Yechezkel Avraham': 0, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",15_ptv_494200.json,
