Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
13,10/4/1999,15,11,2,3900,354,247,123,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Eitan Michael', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Ze`evi Rechavam', 'Chazan Naomi', 'Pines-Paz Ophir', 'Rivlin Reuven', 'Steinitz Yuval', 'Sheetrit Meir', 'Shtern Yuri']","{'Tarif Salah': 1446, 'Edelstein Yuli-Yoel': 0, 'Eitan Michael': 107, 'Barakeh Mohammad': 0, 'Galon Zehava': 132, 'Gafni Moshe': 449, 'Ze`evi Rechavam': 432, 'Chazan Naomi': 115, 'Pines-Paz Ophir': 0, 'Rivlin Reuven': 624, 'Steinitz Yuval': 342, 'Sheetrit Meir': 268, 'Shtern Yuri': 232}",15_ptv_490838.json,
14,10/05/1999,15,11,3,1480,134,574,191,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Langental Nahum', 'Landver Sofa', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Sheetrit Meir']","{'Tarif Salah': 683, 'Edelstein Yuli-Yoel': 31, 'Barakeh Mohammad': 29, 'Galon Zehava': 50, 'Gafni Moshe': 196, 'Dehamshe Abdulmalik': 35, 'Ze`evi Rechavam': 209, 'Chazan Naomi': 524, 'Langental Nahum': 0, 'Landver Sofa': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 19, 'Rivlin Reuven': 0, 'Sheetrit Meir': 278}",15_ptv_490839.json,
,10/6/1999,15,7,5,578,82,326,65,"['Tarif Salah', 'Orlev Zevulun', 'Galon Zehava', 'Gafni Moshe', 'Hirchson Abraham', 'Chazan Naomi', 'Livni Tzipi', 'Landver Sofa', 'Maor Anat', 'Pines-Paz Ophir', 'Rivlin Reuven', 'Sheetrit Meir']","{'Tarif Salah': 314, 'Orlev Zevulun': 17, 'Galon Zehava': 8, 'Gafni Moshe': 207, 'Hirchson Abraham': 0, 'Chazan Naomi': 170, 'Livni Tzipi': 0, 'Landver Sofa': 0, 'Maor Anat': 148, 'Pines-Paz Ophir': 0, 'Rivlin Reuven': 40, 'Sheetrit Meir': 0}",15_ptv_490840.json,
16,10/11/1999,15,5,1,859,171,39,39,"['Pines-Paz Ophir', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Rivlin Reuven']","{'Pines-Paz Ophir': 511, 'Gafni Moshe': 38, 'Dehamshe Abdulmalik': 24, 'Ze`evi Rechavam': 81, 'Chazan Naomi': 39, 'Rivlin Reuven': 205}",15_ptv_490841.json,
16,10/11/1999,15,16,0,2349,146,0,0,"['Pines-Paz Ophir', 'Orlev Zevulun', 'Eitan Michael', 'Edelstein Yuli-Yoel', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Sandberg Eliezer', 'Rivlin Reuven', 'Shtern Yuri', 'Azoulay David', 'Tibi Ahmad', 'Cohen Eliezer', 'Vilan Avshalom', 'Liberman Avigdor', 'Makhoul Issam']","{'Pines-Paz Ophir': 749, 'Orlev Zevulun': 69, 'Eitan Michael': 247, 'Edelstein Yuli-Yoel': 7, 'Barakeh Mohammad': 30, 'Gafni Moshe': 59, 'Dehamshe Abdulmalik': 0, 'Sandberg Eliezer': 108, 'Rivlin Reuven': 720, 'Shtern Yuri': 62, 'Azoulay David': 0, 'Tibi Ahmad': 0, 'Cohen Eliezer': 15, 'Vilan Avshalom': 26, 'Liberman Avigdor': 135, 'Makhoul Issam': 122}",15_ptv_490842.json,
16,10/12/1999,15,16,0,2349,146,0,0,"['Pines-Paz Ophir', 'Orlev Zevulun', 'Eitan Michael', 'Edelstein Yuli-Yoel', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Sandberg Eliezer', 'Rivlin Reuven', 'Shtern Yuri', 'Azoulay David', 'Tibi Ahmad', 'Cohen Eliezer', 'Vilan Avshalom', 'Liberman Avigdor', 'Makhoul Issam']","{'Pines-Paz Ophir': 749, 'Orlev Zevulun': 69, 'Eitan Michael': 247, 'Edelstein Yuli-Yoel': 7, 'Barakeh Mohammad': 30, 'Gafni Moshe': 59, 'Dehamshe Abdulmalik': 0, 'Sandberg Eliezer': 108, 'Rivlin Reuven': 720, 'Shtern Yuri': 62, 'Azoulay David': 0, 'Tibi Ahmad': 0, 'Cohen Eliezer': 15, 'Vilan Avshalom': 26, 'Liberman Avigdor': 135, 'Makhoul Issam': 122}",15_ptv_490843.json,
,10/6/1999,15,7,5,578,82,326,65,"['Tarif Salah', 'Orlev Zevulun', 'Galon Zehava', 'Gafni Moshe', 'Hirchson Abraham', 'Chazan Naomi', 'Livni Tzipi', 'Landver Sofa', 'Maor Anat', 'Pines-Paz Ophir', 'Rivlin Reuven', 'Sheetrit Meir']","{'Tarif Salah': 314, 'Orlev Zevulun': 17, 'Galon Zehava': 8, 'Gafni Moshe': 207, 'Hirchson Abraham': 0, 'Chazan Naomi': 170, 'Livni Tzipi': 0, 'Landver Sofa': 0, 'Maor Anat': 148, 'Pines-Paz Ophir': 0, 'Rivlin Reuven': 40, 'Sheetrit Meir': 0}",15_ptv_490844.json,
18,10/18/1999,15,10,2,2115,211,0,0,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Eitan Michael', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Levy Maxim', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven']","{'Tarif Salah': 815, 'Edelstein Yuli-Yoel': 0, 'Eitan Michael': 413, 'Galon Zehava': 0, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 45, 'Ze`evi Rechavam': 331, 'Chazan Naomi': 0, 'Levy Maxim': 225, 'Pines-Paz Ophir': 0, 'Peretz Yair': 46, 'Rivlin Reuven': 240}",15_ptv_490845.json,
19,10/19/1999,15,14,5,4162,297,635,127,"['Tarif Salah', 'Pines-Paz Ophir', 'Landver Sofa', 'Rivlin Reuven', 'Eitan Michael', 'Peretz Yair', 'Chazan Naomi', 'Orlev Zevulun', 'Gafni Moshe', 'Brailovsky Victor', 'Gagula Itzhak', 'Cohen Eliezer', 'Livnat Limor', 'Liberman Avigdor', 'Langental Nahum', 'Maor Anat', 'Naot Yehudith', 'Poraz Avraham', 'Paritzky Joseph']","{'Tarif Salah': 2053, 'Pines-Paz Ophir': 0, 'Landver Sofa': 0, 'Rivlin Reuven': 663, 'Eitan Michael': 792, 'Peretz Yair': 25, 'Chazan Naomi': 151, 'Orlev Zevulun': 0, 'Gafni Moshe': 141, 'Brailovsky Victor': 0, 'Gagula Itzhak': 31, 'Cohen Eliezer': 91, 'Livnat Limor': 57, 'Liberman Avigdor': 75, 'Langental Nahum': 26, 'Maor Anat': 390, 'Naot Yehudith': 37, 'Poraz Avraham': 265, 'Paritzky Joseph': 0}",15_ptv_490846.json,
2,10/25/1999,15,11,2,2994,272,43,21,"['Tarif Salah', 'Eitan Michael', 'Barakeh Mohammad', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Chazan Naomi', 'Cohen Amnon', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Shtern Yuri']","{'Tarif Salah': 1627, 'Eitan Michael': 622, 'Barakeh Mohammad': 0, 'Galon Zehava': 43, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 326, 'Sandberg Eliezer': 38, 'Chazan Naomi': 0, 'Cohen Amnon': 13, 'Pines-Paz Ophir': 0, 'Peretz Yair': 28, 'Rivlin Reuven': 340, 'Shtern Yuri': 0}",15_ptv_490847.json,
